,mean_2014_2019,month,month_day,month_num,data
208,44.0,Jul,27,07,2020-07-27
209,42.0,Jul,28,07,2020-07-28
210,44.0,Jul,29,07,2020-07-29
211,44.0,Jul,30,07,2020-07-30
212,45.0,Jul,31,07,2020-07-31
213,42.0,Ago,01,08,2020-08-01
214,44.0,Ago,02,08,2020-08-02
215,46.0,Ago,03,08,2020-08-03
216,44.0,Ago,04,08,2020-08-04
217,46.0,Ago,05,08,2020-08-05
218,46.0,Ago,06,08,2020-08-06
219,46.0,Ago,07,08,2020-08-07
220,47.0,Ago,08,08,2020-08-08
221,42.0,Ago,09,08,2020-08-09
222,42.0,Ago,10,08,2020-08-10
223,42.0,Ago,11,08,2020-08-11
224,44.0,Ago,12,08,2020-08-12
225,47.0,Ago,13,08,2020-08-13
226,42.0,Ago,14,08,2020-08-14
227,38.0,Ago,15,08,2020-08-15
228,47.0,Ago,16,08,2020-08-16
229,42.0,Ago,17,08,2020-08-17
230,43.0,Ago,18,08,2020-08-18
231,46.0,Ago,19,08,2020-08-19
232,43.0,Ago,20,08,2020-08-20
233,46.0,Ago,21,08,2020-08-21
234,49.0,Ago,22,08,2020-08-22
235,41.0,Ago,23,08,2020-08-23
236,40.0,Ago,24,08,2020-08-24
237,42.0,Ago,25,08,2020-08-25
238,39.0,Ago,26,08,2020-08-26
239,47.0,Ago,27,08,2020-08-27
240,44.0,Ago,28,08,2020-08-28
241,42.0,Ago,29,08,2020-08-29
242,42.0,Ago,30,08,2020-08-30
243,39.0,Ago,31,08,2020-08-31
244,39.0,Set,01,09,2020-09-01
245,46.0,Set,02,09,2020-09-02
246,45.0,Set,03,09,2020-09-03
247,44.0,Set,04,09,2020-09-04
248,44.0,Set,05,09,2020-09-05
249,38.0,Set,06,09,2020-09-06
250,46.0,Set,07,09,2020-09-07
251,44.0,Set,08,09,2020-09-08
252,44.0,Set,09,09,2020-09-09
253,39.0,Set,10,09,2020-09-10
254,41.0,Set,11,09,2020-09-11
255,42.0,Set,12,09,2020-09-12
256,41.0,Set,13,09,2020-09-13
257,40.0,Set,14,09,2020-09-14
258,39.0,Set,15,09,2020-09-15
259,41.0,Set,16,09,2020-09-16
260,40.0,Set,17,09,2020-09-17
261,36.0,Set,18,09,2020-09-18
262,41.0,Set,19,09,2020-09-19
263,43.0,Set,20,09,2020-09-20
264,41.0,Set,21,09,2020-09-21
265,41.0,Set,22,09,2020-09-22
266,46.0,Set,23,09,2020-09-23
267,42.0,Set,24,09,2020-09-24
268,39.0,Set,25,09,2020-09-25
269,42.0,Set,26,09,2020-09-26
270,43.0,Set,27,09,2020-09-27
271,44.0,Set,28,09,2020-09-28
272,43.0,Set,29,09,2020-09-29
273,44.0,Set,30,09,2020-09-30
274,48.0,Out,01,10,2020-10-01
275,47.0,Out,02,10,2020-10-02
276,44.0,Out,03,10,2020-10-03
277,40.0,Out,04,10,2020-10-04
278,43.0,Out,05,10,2020-10-05
279,43.0,Out,06,10,2020-10-06
280,42.0,Out,07,10,2020-10-07
281,43.0,Out,08,10,2020-10-08
282,45.0,Out,09,10,2020-10-09
283,47.0,Out,10,10,2020-10-10
284,44.0,Out,11,10,2020-10-11
285,38.0,Out,12,10,2020-10-12
286,45.0,Out,13,10,2020-10-13
287,42.0,Out,14,10,2020-10-14
288,45.0,Out,15,10,2020-10-15
289,51.0,Out,16,10,2020-10-16
290,50.0,Out,17,10,2020-10-17
291,42.0,Out,18,10,2020-10-18
292,43.0,Out,19,10,2020-10-19
293,47.0,Out,20,10,2020-10-20
294,42.0,Out,21,10,2020-10-21
295,45.0,Out,22,10,2020-10-22
296,47.0,Out,23,10,2020-10-23
297,47.0,Out,24,10,2020-10-24
298,51.0,Out,25,10,2020-10-25
299,50.0,Out,26,10,2020-10-26
300,49.0,Out,27,10,2020-10-27
301,49.0,Out,28,10,2020-10-28
302,47.0,Out,29,10,2020-10-29
303,45.0,Out,30,10,2020-10-30
304,43.0,Out,31,10,2020-10-31
305,43.0,Nov,01,11,2020-11-01
306,46.0,Nov,02,11,2020-11-02
307,48.0,Nov,03,11,2020-11-03
308,44.0,Nov,04,11,2020-11-04
309,48.0,Nov,05,11,2020-11-05
310,47.0,Nov,06,11,2020-11-06
311,47.0,Nov,07,11,2020-11-07
312,48.0,Nov,08,11,2020-11-08
313,43.0,Nov,09,11,2020-11-09
314,50.0,Nov,10,11,2020-11-10
315,48.0,Nov,11,11,2020-11-11
316,53.0,Nov,12,11,2020-11-12
317,48.0,Nov,13,11,2020-11-13
318,47.0,Nov,14,11,2020-11-14
319,47.0,Nov,15,11,2020-11-15
