"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Out-08","13","12","12","9","12","14",""
"Out-09","6","18","9","9","10","10",""
"Out-10","10","9","12","12","13","10",""
"Out-11","6","10","7","11","10","15",""
"Out-12","13","12","10","21","12","11",""
"Out-13","9","15","9","6","10","9",""
"Out-14","13","6","13","9","10","15",""
"Out-15","11","14","5","8","13","8",""
"Out-16","8","12","12","18","9","11",""
"Out-17","16","8","11","6","9","14",""
"Out-18","16","7","17","7","11","6",""
"Out-19","10","8","12","12","16","10",""
"Out-20","10","14","12","13","8","15",""
"Out-21","16","14","21","11","4","5",""
"Out-22","16","8","15","11","13","10",""
"Out-23","11","10","12","15","14","11",""
"Out-24","14","5","19","12","11","8",""
"Out-25","11","9","14","6","17","12",""
"Out-26","14","19","12","16","8","20",""
"Out-27","16","12","10","10","13","11",""
"Out-28","11","8","11","6","15","16",""
"Out-29","14","15","18","17","13","5",""
"Out-30","9","13","11","11","19","17",""
"Out-31","10","14","13","8","15","18",""
"Nov-01","8","10","12","13","15","22",""
"Nov-02","7","13","2","16","16","16",""
"Nov-03","15","15","9","16","14","13",""
"Nov-04","14","14","8","14","11","14",""
"Nov-05","11","15","11","11","12","19",""
"Nov-06","9","11","15","17","13","15",""
"Nov-07","8","12","8","9","21","15",""
"Nov-08","6","13","11","15","13","17",""
"Nov-09","16","15","13","16","14","16",""
"Nov-10","9","15","24","11","19","16",""
"Nov-11","16","11","16","11","15","27",""
"Nov-12","14","11","16","15","19","11",""
"Nov-13","8","14","15","18","13","14",""
"Nov-14","12","12","13","12","11","14",""
"Nov-15","18","16","17","11","8","22",""
"Nov-16","12","19","6","16","14","13",""
"Nov-17","7","8","14","23","15","13",""
"Nov-18","14","10","13","10","7","12",""
"Nov-19","13","11","18","8","19","21",""
"Nov-20","11","17","12","9","19","15",""
"Nov-21","13","11","12","10","15","15",""
"Nov-22","12","14","16","16","9","14",""
"Nov-23","13","12","13","13","18","16",""
"Nov-24","16","8","15","13","11","10",""
"Nov-25","10","15","13","15","15","18",""
"Nov-26","20","12","15","18","9","15",""
"Nov-27","8","11","15","16","12","22",""
"Nov-28","14","11","13","19","16","20",""
"Nov-29","15","13","24","11","18","17",""
"Nov-30","13","12","8","14","11","18",""
"Dez-01","13","11","21","12","16","16",""
"Dez-02","18","21","15","14","11","13",""
"Dez-03","15","17","20","15","13","19",""
"Dez-04","9","8","7","16","13","8",""
"Dez-05","13","11","19","15","16","14",""
"Dez-06","11","13","12","11","15","10",""
"Dez-07","10","13","23","15","17","13",""
"Dez-08","14","18","18","16","13","14",""
"Dez-09","22","12","20","11","16","15",""
"Dez-10","11","16","12","16","17","15",""
"Dez-11","20","9","9","26","17","14",""
"Dez-12","16","13","18","18","17","13",""
"Dez-13","18","14","16","23","18","10",""
"Dez-14","14","15","20","14","7","22",""
"Dez-15","13","15","15","16","11","16",""
"Dez-16","13","16","15","17","18","4",""
"Dez-17","15","19","10","18","17","14",""
"Dez-18","12","10","11","19","14","18",""
"Dez-19","15","15","11","11","10","15",""
"Dez-20","12","14","18","23","16","13",""
"Dez-21","14","13","14","17","11","20",""
"Dez-22","10","13","22","22","16","13",""
"Dez-23","17","12","16","18","20","10",""
"Dez-24","15","14","22","23","17","15",""
"Dez-25","17","12","16","14","7","10",""
"Dez-26","13","9","19","18","17","13",""
"Dez-27","9","12","16","30","14","14",""
"Dez-28","10","20","16","23","15","23",""
"Dez-29","13","13","25","22","15","15",""
"Dez-30","14","15","15","14","13","12",""
"Dez-31","19","13","25","28","15","7",""
