,2020,month,month_day,month_num,data
278,,Out,05,10,2020-10-05
279,,Out,06,10,2020-10-06
280,,Out,07,10,2020-10-07
281,,Out,08,10,2020-10-08
282,,Out,09,10,2020-10-09
283,,Out,10,10,2020-10-10
284,,Out,11,10,2020-10-11
285,,Out,12,10,2020-10-12
286,,Out,13,10,2020-10-13
287,,Out,14,10,2020-10-14
288,,Out,15,10,2020-10-15
289,,Out,16,10,2020-10-16
290,,Out,17,10,2020-10-17
291,,Out,18,10,2020-10-18
292,,Out,19,10,2020-10-19
293,,Out,20,10,2020-10-20
294,,Out,21,10,2020-10-21
295,,Out,22,10,2020-10-22
296,,Out,23,10,2020-10-23
297,,Out,24,10,2020-10-24
298,,Out,25,10,2020-10-25
299,,Out,26,10,2020-10-26
300,,Out,27,10,2020-10-27
301,,Out,28,10,2020-10-28
302,,Out,29,10,2020-10-29
303,,Out,30,10,2020-10-30
304,,Out,31,10,2020-10-31
305,,Nov,01,11,2020-11-01
306,,Nov,02,11,2020-11-02
307,,Nov,03,11,2020-11-03
308,,Nov,04,11,2020-11-04
309,,Nov,05,11,2020-11-05
310,,Nov,06,11,2020-11-06
311,,Nov,07,11,2020-11-07
312,,Nov,08,11,2020-11-08
313,,Nov,09,11,2020-11-09
314,,Nov,10,11,2020-11-10
315,,Nov,11,11,2020-11-11
316,,Nov,12,11,2020-11-12
317,,Nov,13,11,2020-11-13
318,,Nov,14,11,2020-11-14
319,,Nov,15,11,2020-11-15
320,,Nov,16,11,2020-11-16
321,,Nov,17,11,2020-11-17
322,,Nov,18,11,2020-11-18
323,,Nov,19,11,2020-11-19
324,,Nov,20,11,2020-11-20
325,,Nov,21,11,2020-11-21
326,,Nov,22,11,2020-11-22
327,,Nov,23,11,2020-11-23
328,,Nov,24,11,2020-11-24
329,,Nov,25,11,2020-11-25
330,,Nov,26,11,2020-11-26
331,,Nov,27,11,2020-11-27
332,,Nov,28,11,2020-11-28
333,,Nov,29,11,2020-11-29
334,,Nov,30,11,2020-11-30
335,,Dez,01,12,2020-12-01
336,,Dez,02,12,2020-12-02
337,,Dez,03,12,2020-12-03
338,,Dez,04,12,2020-12-04
339,,Dez,05,12,2020-12-05
340,,Dez,06,12,2020-12-06
341,,Dez,07,12,2020-12-07
342,,Dez,08,12,2020-12-08
343,,Dez,09,12,2020-12-09
344,,Dez,10,12,2020-12-10
345,,Dez,11,12,2020-12-11
346,,Dez,12,12,2020-12-12
347,,Dez,13,12,2020-12-13
348,,Dez,14,12,2020-12-14
349,,Dez,15,12,2020-12-15
350,,Dez,16,12,2020-12-16
351,,Dez,17,12,2020-12-17
352,,Dez,18,12,2020-12-18
353,,Dez,19,12,2020-12-19
354,,Dez,20,12,2020-12-20
355,,Dez,21,12,2020-12-21
