"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Nov-17","5","9","6","8","8","4",""
"Nov-18","10","8","3","6","4","5",""
"Nov-19","6","12","6","9","8","6",""
"Nov-20","1","8","5","3","2","6",""
"Nov-21","6","6","3","3","3","7",""
"Nov-22","6","3","6","7","10","5",""
"Nov-23","9","7","3","5","4","6",""
"Nov-24","7","6","8","6","5","5",""
"Nov-25","11","4","5","6","7","8",""
"Nov-26","6","4","7","7","13","5",""
"Nov-27","5","7","4","8","7","8",""
"Nov-28","6","4","4","7","10","7",""
"Nov-29","9","3","4","5","7","6",""
"Nov-30","6","7","8","6","11","3",""
"Dez-01","8","8","8","3","6","6",""
"Dez-02","4","4","11","8","6","4",""
"Dez-03","6","3","7","8","6","6",""
"Dez-04","6","11","4","7","3","5",""
"Dez-05","6","5","10","4","6","4",""
"Dez-06","4","3","5","7","4","7",""
"Dez-07","7","3","6","6","13","8",""
"Dez-08","9","10","6","4","6","8",""
"Dez-09","10","7","5","7","6","7",""
"Dez-10","4","7","13","8","6","5",""
"Dez-11","10","6","4","8","4","6",""
"Dez-12","5","9","1","8","8","4",""
"Dez-13","7","4","9","8","7","1",""
"Dez-14","9","14","6","6","9","8",""
"Dez-15","3","7","7","5","3","5",""
"Dez-16","9","5","4","1","3","14",""
"Dez-17","9","9","5","5","5","5",""
"Dez-18","10","10","5","7","8","8",""
"Dez-19","4","9","4","3","4","7",""
"Dez-20","9","6","5","4","3","3",""
"Dez-21","7","7","11","7","6","7",""
"Dez-22","5","8","8","5","5","9",""
"Dez-23","10","4","11","8","2","7",""
"Dez-24","4","12","7","6","7","7",""
"Dez-25","7","9","5","5","6","9",""
"Dez-26","4","4","6","10","5","3",""
"Dez-27","5","5","6","3","6","7",""
"Dez-28","5","6","10","6","5","8",""
"Dez-29","7","7","6","8","6","5",""
"Dez-30","3","11","4","7","11","5",""
"Dez-31","4","4","6","6","12","5",""
